ID,Label,Weight
張飛,張飛,365
劉備,劉備,297
關羽,關羽,9
曹操,曹操,939
趙雲,趙雲,311
周瑜,周瑜,226
孫權,孫權,322
劉禪,劉禪,18
葛亮,葛亮,157
馬懿,馬懿,289
馬昭,馬昭,111
